S.No,Easting,Northing
1,82.6719,24.0983
2,69.5487,22.8225
3,69.52771,22.8159
4,82.6264733,23.9775233
5,83.4513116,22.0987473
6,79.293,20.0023
7,79.9671,21.4129
8,85.0741,21.0973
9,82.2849,22.1431
10,77.6087,28.5985
11,79.4555,18.7589
12,82.6834,22.3859
13,82.7899,24.0267
14,84.0404,21.8144
15,87.2673,25.2374
16,79.3844,21.1928
17,87.894,24.772
18,83.0875,17.5961
19,82.706384,24.105168
20,75.8427,16.4968
21,80.1204,14.3279
22,81.3254,25.9092
23,73.3588,22.8766
24,85.7467,25.4894
